"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.294795912E1,-7.880279541E0,1.742496109E1,-4.959143066E1
1.299757212E1,-8.229507446E0,1.748920059E1,-4.961679077E1
1.304718412E1,-8.149337769E0,1.704579544E1,-4.969421387E1
1.309679612E1,-8.081893921E0,1.733035660E1,-4.940292358E1
1.314640854E1,-8.154968262E0,1.711616135E1,-4.964639282E1
1.319602054E1,-8.549972534E0,1.729348373E1,-4.947644043E1
1.324563354E1,-8.215759277E0,1.761474991E1,-4.896026611E1
1.329524554E1,-8.317993164E0,1.720012283E1,-4.901663208E1
1.334485754E1,-8.522659302E0,1.732684708E1,-4.867999268E1
1.339447054E1,-8.393905640E0,1.681792831E1,-4.910493469E1
1.344408254E1,-8.352279663E0,1.734777451E1,-4.863661194E1
1.349369554E1,-8.864425659E0,1.702178574E1,-4.890209961E1
1.354330754E1,-8.806289673E0,1.736278152E1,-4.852752686E1
1.359291954E1,-8.768096924E0,1.718198776E1,-4.892965698E1
1.364253254E1,-8.414947510E0,1.762617111E1,-4.872491455E1
1.369214454E1,-8.666961670E0,1.743030930E1,-4.899177551E1
1.374175754E1,-8.611495972E0,1.733881760E1,-4.923439026E1
1.379136954E1,-8.470443726E0,1.717111588E1,-4.909970093E1
1.384098154E1,-8.694152832E0,1.753776932E1,-4.878153992E1
1.389059454E1,-8.289505005E0,1.711758041E1,-4.894830322E1
1.394020654E1,-8.319381714E0,1.711555099E1,-4.879557800E1
1.398981954E1,-8.692565918E0,1.696630478E1,-4.927012634E1
1.403943154E1,-8.564697266E0,1.690462112E1,-4.908274841E1
1.408904354E1,-9.061569214E0,1.705922318E1,-4.949099731E1
1.413865654E1,-8.649322510E0,1.704852676E1,-4.891969299E1
1.418826854E1,-8.877838135E0,1.645215225E1,-4.906259155E1
1.423788154E1,-8.867202759E0,1.726028824E1,-4.892056274E1
1.428749354E1,-8.685531616E0,1.694135666E1,-4.905990601E1
1.433710554E1,-8.538070679E0,1.750152206E1,-4.892730713E1
1.438671854E1,-8.002807617E0,1.729890823E1,-4.933398438E1
