"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.100459071E1,2.213958740E0,1.357022095E1,-4.874291992E1
1.105459371E1,2.322624207E0,1.365490723E1,-4.895556641E1
1.110459671E1,2.297515869E0,1.338159180E1,-4.886267090E1
1.115459971E1,2.433708191E0,1.342759705E1,-4.890747070E1
1.120460271E1,2.234958649E0,1.334156799E1,-4.907940674E1
1.125460467E1,2.181941986E0,1.343165588E1,-4.893157959E1
1.130460767E1,2.170867920E0,1.351568604E1,-4.918713379E1
1.135461067E1,2.059268951E0,1.336921692E1,-4.914746094E1
1.140461367E1,2.124752045E0,1.322676086E1,-4.908850098E1
1.145461667E1,2.319873810E0,1.344778442E1,-4.894677734E1
1.150461967E1,2.225830078E0,1.344331360E1,-4.930023193E1
1.155462267E1,2.169849396E0,1.354084778E1,-4.921459961E1
1.160462467E1,2.077217102E0,1.352529907E1,-4.928710938E1
1.165462767E1,2.206718445E0,1.346166992E1,-4.907855225E1
1.170463067E1,2.117881775E0,1.333505249E1,-4.915856934E1
1.175463367E1,2.382499695E0,1.346513367E1,-4.895642090E1
1.180463667E1,2.278640747E0,1.331785583E1,-4.897369385E1
1.185463967E1,2.179374695E0,1.349919128E1,-4.890997314E1
1.190464267E1,2.255073547E0,1.345635986E1,-4.926776123E1
1.195464467E1,2.249378204E0,1.340847778E1,-4.907983398E1
1.200464767E1,2.223854065E0,1.322094727E1,-4.890997314E1
1.205465067E1,2.281147003E0,1.327638245E1,-4.888507080E1
1.210465367E1,2.058288574E0,1.328976440E1,-4.883892822E1
1.215465667E1,2.203479767E0,1.339440918E1,-4.937896729E1
1.220465967E1,2.104213715E0,1.341807556E1,-4.910150146E1
1.225466267E1,2.328334808E0,1.340351868E1,-4.920074463E1
1.230466567E1,2.098728180E0,1.331741333E1,-4.941632080E1
1.235466767E1,1.808311462E0,1.342977905E1,-4.903619385E1
1.240467067E1,1.991676331E0,1.344586182E1,-4.951739502E1
1.245467367E1,1.846214294E0,1.342578125E1,-4.913476562E1
1.250467667E1,1.889492035E0,1.337892151E1,-4.921630859E1
1.255467967E1,2.059101105E0,1.339178467E1,-4.926373291E1
1.260468267E1,2.004993439E0,1.346542358E1,-4.907531738E1
1.265468567E1,1.848197937E0,1.343786621E1,-4.928643799E1
1.270468867E1,2.105331421E0,1.326840210E1,-4.906158447E1
1.275469167E1,2.172767639E0,1.327362061E1,-4.947430420E1
1.280469367E1,2.102924347E0,1.344789124E1,-4.942364502E1
1.285469667E1,2.114612579E0,1.346350098E1,-4.944635010E1
1.290469967E1,2.364974976E0,1.326618958E1,-4.950708008E1
1.295470267E1,2.232063293E0,1.348106384E1,-4.932769775E1
1.300470567E1,2.346683502E0,1.324426270E1,-4.949072266E1
1.305470867E1,2.482341766E0,1.327455139E1,-4.934771729E1
1.310471167E1,2.455028534E0,1.331188965E1,-4.910101318E1
1.315471467E1,2.331546783E0,1.321124268E1,-4.901092529E1
1.320471767E1,2.327327728E0,1.327943420E1,-4.903967285E1
1.325472079E1,2.427654266E0,1.328469849E1,-4.895819092E1
1.330472279E1,2.483364105E0,1.309126282E1,-4.913378906E1
1.335472579E1,2.498161316E0,1.320130920E1,-4.917419434E1
1.340472879E1,2.391025543E0,1.319015503E1,-4.889605713E1
1.345473179E1,2.541965485E0,1.313581848E1,-4.907360840E1
