"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.404490954E1,8.611602783E-1,1.374207306E1,-5.119534302E1
1.409522254E1,7.033233643E-1,1.349864197E1,-5.172821045E1
1.414553554E1,1.264083862E0,1.353389740E1,-5.135461426E1
1.419584754E1,6.681060791E-1,1.384251404E1,-5.172280884E1
1.424616054E1,9.752502441E-1,1.359113312E1,-5.155847168E1
1.429647354E1,1.180831909E0,1.362383270E1,-5.159954834E1
1.434678654E1,1.185150146E0,1.371225739E1,-5.148733521E1
1.439709954E1,9.267578125E-1,1.372753906E1,-5.157254028E1
1.444741254E1,1.019943237E0,1.382380676E1,-5.133578491E1
1.449772554E1,1.237060547E0,1.356004333E1,-5.130856323E1
1.454803754E1,1.191284180E0,1.373332214E1,-5.119921875E1
1.459835054E1,9.665222168E-1,1.371878815E1,-5.112707520E1
1.464866354E1,9.972686768E-1,1.364315033E1,-5.150540161E1
1.469897654E1,9.128723145E-1,1.379431152E1,-5.175088501E1
1.474928958E1,7.815704346E-1,1.349166107E1,-5.144500732E1
1.479960258E1,1.184295654E0,1.366222382E1,-5.202285767E1
1.484991558E1,6.926269531E-1,1.374437714E1,-5.101470947E1
1.490022758E1,8.493041992E-1,1.340038300E1,-5.086709595E1
1.495054058E1,7.710266113E-1,1.366865540E1,-5.134329224E1
1.500085358E1,9.652557373E-1,1.391976929E1,-5.085488892E1
1.505116658E1,1.012847900E0,1.375633240E1,-5.181274414E1
1.510147958E1,8.727722168E-1,1.384773254E1,-5.077066040E1
1.515179258E1,9.998016357E-1,1.401122284E1,-5.107369995E1
1.520210558E1,1.011871338E0,1.383599854E1,-5.127569580E1
1.525241758E1,8.748168945E-1,1.408374023E1,-5.141085815E1
1.530273058E1,5.850830078E-1,1.391053772E1,-5.172512817E1
1.535304358E1,8.917541504E-1,1.412200165E1,-5.117938232E1
1.540335658E1,7.819824219E-1,1.401471710E1,-5.091006470E1
1.545366958E1,9.256896973E-1,1.403943634E1,-5.094104004E1
1.550398258E1,9.145660400E-1,1.379921722E1,-5.081607056E1
1.555429458E1,6.887359619E-1,1.412454987E1,-5.112847900E1
1.560460758E1,6.391143799E-1,1.367892456E1,-5.119976807E1
1.565492058E1,5.967102051E-1,1.367095184E1,-5.141232300E1
1.570523358E1,8.880462646E-1,1.374729156E1,-5.158053589E1
1.575554696E1,8.151702881E-1,1.362642670E1,-5.137170410E1
1.580585996E1,7.808532715E-1,1.350085449E1,-5.085955811E1
1.585617196E1,1.139617920E0,1.369313812E1,-5.132031250E1
1.590648496E1,1.281234741E0,1.392937469E1,-5.187606812E1
1.595679796E1,9.725646973E-1,1.372708130E1,-5.113644409E1
1.600711096E1,1.012374878E0,1.376711273E1,-5.105615234E1
1.605742396E1,1.024490356E0,1.384461212E1,-5.136550903E1
1.610773596E1,6.112823486E-1,1.387099457E1,-5.119638062E1
1.615804896E1,1.058303833E0,1.359059906E1,-5.132778931E1
1.620836196E1,1.154495239E0,1.390776062E1,-5.171447754E1
1.625867496E1,7.896270752E-1,1.370306396E1,-5.123016357E1
1.630898796E1,8.810272217E-1,1.411188507E1,-5.179873657E1
1.635930096E1,1.120819092E0,1.365304565E1,-5.155996704E1
1.640961296E1,9.118041992E-1,1.362512207E1,-5.143054199E1
1.645992596E1,6.635131836E-1,1.387391663E1,-5.100720215E1
1.651023896E1,8.046875000E-1,1.367394257E1,-5.153070068E1
1.656055196E1,1.107482910E0,1.379439545E1,-5.100292969E1
1.661086496E1,1.067977905E0,1.386404419E1,-5.168319702E1
1.666117696E1,9.841918945E-1,1.392748260E1,-5.102789307E1
1.671148996E1,1.235900879E0,1.359320831E1,-5.089294434E1
1.676180242E1,9.949340820E-1,1.339073944E1,-5.125881958E1
1.681211542E1,1.099716187E0,1.369876099E1,-5.159967041E1
1.686242842E1,8.840637207E-1,1.366075134E1,-5.129699707E1
1.691274042E1,1.229293823E0,1.391552734E1,-5.095449829E1
1.696305342E1,1.035858154E0,1.383287811E1,-5.118829346E1
1.701336642E1,9.334564209E-1,1.357051849E1,-5.145266724E1
1.706367942E1,8.030090332E-1,1.357543945E1,-5.123648071E1
1.711399242E1,6.563262939E-1,1.352206421E1,-5.117120361E1
1.716430442E1,8.296661377E-1,1.346093750E1,-5.154528809E1
1.721461742E1,9.506530762E-1,1.372059631E1,-5.169589233E1
1.726493042E1,8.423614502E-1,1.395211792E1,-5.113049316E1
1.731524342E1,7.272644043E-1,1.367740631E1,-5.124948120E1
1.736555642E1,7.939758301E-1,1.354156494E1,-5.123413086E1
1.741586842E1,8.604583740E-1,1.367412567E1,-5.158859253E1
1.746618142E1,7.921295166E-1,1.354537201E1,-5.117086792E1
1.751649442E1,7.492980957E-1,1.370274353E1,-5.103939819E1
1.756680742E1,9.051361084E-1,1.321760559E1,-5.171023560E1
1.761711942E1,8.291015625E-1,1.341211700E1,-5.130947876E1
1.766743242E1,7.751007080E-1,1.333977509E1,-5.121594238E1
1.771774583E1,5.466308594E-1,1.330251312E1,-5.137924194E1
1.776805883E1,6.628265381E-1,1.301403046E1,-5.132214355E1
1.781837183E1,8.292388916E-1,1.333538818E1,-5.128411865E1
1.786868383E1,7.391815186E-1,1.316473389E1,-5.122406006E1
1.791899683E1,1.246856689E0,1.323203278E1,-5.139968872E1
1.796930983E1,1.096160889E0,1.314710236E1,-5.126620483E1
1.801962283E1,1.091186523E0,1.333217621E1,-5.171551514E1
1.806993483E1,1.304733276E0,1.308647156E1,-5.173632812E1
1.812024783E1,1.095794678E0,1.310211182E1,-5.132690430E1
1.817056083E1,9.333190918E-1,1.321974945E1,-5.182620239E1
1.822087383E1,1.065399170E0,1.337822723E1,-5.189846802E1
1.827118683E1,1.128005981E0,1.312841797E1,-5.178402710E1
1.832149883E1,1.056655884E0,1.317114258E1,-5.184695435E1
1.837181183E1,8.716125488E-1,1.317413330E1,-5.131625366E1
1.842212483E1,8.569946289E-1,1.315132141E1,-5.170239258E1
1.847243783E1,9.224548340E-1,1.331806946E1,-5.161764526E1
1.852274983E1,8.460540771E-1,1.308819580E1,-5.141400146E1
1.857306283E1,8.622894287E-1,1.320304871E1,-5.149493408E1
1.862337583E1,7.710723877E-1,1.326221466E1,-5.199011230E1
1.867368883E1,1.031356812E0,1.327342224E1,-5.223788452E1
1.872400108E1,6.898651123E-1,1.351182556E1,-5.175119019E1
1.877431408E1,6.473541260E-1,1.309808350E1,-5.174359131E1
1.882462708E1,6.773223877E-1,1.326333618E1,-5.190908813E1
1.887494008E1,6.383666992E-1,1.320223999E1,-5.192218018E1
1.892525208E1,8.579711914E-1,1.352329254E1,-5.187268066E1
